literal	expected	actual	result
0	ACCEPT	ACCEPT	PASS
00	ACCEPT	ACCEPT	PASS
0_0	ACCEPT	ACCEPT	PASS
0_00	ACCEPT	ACCEPT	PASS
7	ACCEPT	ACCEPT	PASS
9	ACCEPT	ACCEPT	PASS
12_34	ACCEPT	ACCEPT	PASS
1_2_3	ACCEPT	ACCEPT	PASS
a	REJECT	REJECT	PASS
_1	REJECT	REJECT	PASS
1_	REJECT	REJECT	PASS
1__2	REJECT	REJECT	PASS
0o77	ACCEPT	ACCEPT	PASS
0o7_7	ACCEPT	ACCEPT	PASS
0o8	REJECT	REJECT	PASS
0o_77	REJECT	REJECT	PASS
0xFF	ACCEPT	ACCEPT	PASS
0xF_F	ACCEPT	ACCEPT	PASS
0xFG	REJECT	REJECT	PASS
0x	REJECT	REJECT	PASS
0x_1	REJECT	REJECT	PASS
0123	REJECT	REJECT	PASS
08	REJECT	REJECT	PASS
0_1	REJECT	REJECT	PASS
