literal	expected	actual	result
0	ACCEPT	ACCEPT	PASS
1	ACCEPT	ACCEPT	PASS
9	ACCEPT	ACCEPT	PASS
123	ACCEPT	ACCEPT	PASS
1_000	ACCEPT	ACCEPT	PASS
10_000_000	ACCEPT	ACCEPT	PASS
0o7	ACCEPT	ACCEPT	PASS
0o10	ACCEPT	ACCEPT	PASS
0O123_456	ACCEPT	ACCEPT	PASS
0x0	ACCEPT	ACCEPT	PASS
0xA	ACCEPT	ACCEPT	PASS
0xdeadBEEF	ACCEPT	ACCEPT	PASS
0X10_20	ACCEPT	ACCEPT	PASS
.5	ACCEPT	ACCEPT	PASS
0.0	ACCEPT	ACCEPT	PASS
1.	ACCEPT	ACCEPT	PASS
1.0	ACCEPT	ACCEPT	PASS
1_2.3_4	ACCEPT	ACCEPT	PASS
123.456	ACCEPT	ACCEPT	PASS
01	REJECT	REJECT	PASS
0_	REJECT	REJECT	PASS
_1	REJECT	REJECT	PASS
0x	REJECT	REJECT	PASS
0xG	REJECT	REJECT	PASS
0o8	REJECT	REJECT	PASS
.	REJECT	REJECT	PASS
